,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,fouls_r_count,offsides_l_count,ball_on_side_l,score,outlier
5,100005,23,0,22,1,33,1,0,10,49,46,3,1,552,1,12,1,0,56,0,1
19,100019,28,1,0,2,7,0,4,10,25,58,3,1,646,2,10,3,0,60,0,1
23,100023,13,0,26,0,47,1,1,1,32,48,1,0,533,3,18,1,0,53,0,1
32,100032,31,1,12,0,19,1,5,2,20,62,0,2,665,0,5,3,0,62,0,-1
44,100045,36,1,4,1,37,1,3,9,18,76,2,0,985,0,4,3,0,51,0,1
56,100057,43,0,18,1,36,2,0,1,21,75,0,0,849,0,6,8,1,51,0,1
68,100069,20,2,13,0,15,2,0,10,24,56,1,1,618,1,8,2,0,56,0,1
97,100098,29,0,8,0,23,2,2,7,19,73,0,2,750,1,7,3,2,58,0,1
135,100136,17,1,11,0,39,1,1,2,25,55,0,2,635,1,14,1,1,60,0,1
138,100139,24,2,7,0,14,0,0,3,35,60,0,2,858,0,8,1,0,72,0,1
142,100143,25,0,15,0,6,1,1,5,34,44,1,0,479,0,18,0,0,67,0,1
154,100155,25,0,10,0,22,0,1,7,29,51,1,2,642,2,12,6,0,51,0,1
158,100159,10,1,21,0,52,3,0,1,22,49,4,1,559,0,17,1,2,50,0,1
181,100182,30,0,23,0,50,1,0,0,4,86,3,0,1157,0,3,4,1,47,0,1
185,100186,24,0,13,0,90,2,0,0,19,58,5,1,754,0,7,1,1,45,0,-1
188,100189,22,0,3,1,23,1,4,6,30,62,0,0,693,0,12,3,0,62,0,-1
216,100217,28,0,11,0,8,2,2,18,36,54,0,1,607,1,11,2,1,59,0,1
232,100233,24,0,0,0,8,0,2,7,35,50,0,2,676,2,11,4,0,74,0,1
233,100234,10,0,18,0,32,1,2,0,38,51,0,0,665,1,14,1,1,68,0,1
252,100253,24,0,0,1,9,0,0,7,21,66,0,0,822,1,7,2,0,74,0,1
274,100275,26,0,14,1,40,1,1,6,29,61,4,1,765,0,11,4,0,47,0,1
275,100276,18,0,5,1,12,0,0,5,30,56,3,0,735,0,14,2,0,60,0,1
301,100302,20,0,2,0,2,0,0,0,7,78,0,0,956,2,3,0,0,61,0,1
318,100319,33,0,3,1,37,0,0,15,28,62,2,1,655,0,14,4,0,61,0,1
376,100377,30,0,9,2,6,0,0,2,28,50,1,1,601,0,19,3,0,49,0,1
383,100384,13,0,17,0,14,1,0,5,23,57,3,2,673,0,10,0,0,62,0,1
389,100390,18,0,24,0,44,2,3,3,12,65,2,0,715,1,10,0,2,35,0,1
391,100392,19,1,6,0,16,1,0,1,33,54,0,0,697,0,15,0,2,61,0,1
395,100396,28,0,2,1,3,0,3,13,29,56,0,0,634,2,13,4,0,72,0,1
405,100406,28,2,2,0,14,0,1,9,25,60,1,0,712,2,10,2,0,64,0,1
413,100414,50,0,10,2,17,8,1,7,30,76,2,0,697,0,6,4,0,50,0,1
415,100416,24,0,5,0,0,1,2,15,20,74,0,1,848,0,10,0,1,76,0,1
425,100426,18,1,3,0,16,3,1,7,33,53,1,0,603,0,13,4,1,58,0,1
440,100441,41,0,11,0,9,0,0,0,16,76,0,0,1094,0,0,6,0,61,0,1
466,100467,30,1,10,0,20,2,0,18,23,68,1,0,953,0,6,0,1,59,0,1
499,100500,31,0,49,0,74,4,1,10,17,70,4,0,766,0,6,3,0,35,0,1
552,100553,35,0,11,0,8,4,0,4,10,82,0,0,971,0,2,5,1,43,0,1
581,100582,27,0,17,0,10,0,4,18,17,65,3,1,827,0,5,4,0,57,0,1
613,100614,32,2,13,1,27,2,0,6,14,72,3,1,847,0,4,2,1,53,0,1
621,100622,24,0,16,1,4,0,0,2,18,77,0,1,961,0,5,2,0,73,0,1
636,100637,16,0,6,0,14,2,2,10,24,62,0,2,789,0,7,2,1,63,0,1
651,100652,23,0,9,1,16,0,4,10,31,58,0,0,635,0,12,2,0,67,0,1
671,100672,18,1,41,0,80,1,0,6,31,56,6,1,712,1,12,0,1,46,0,-1
679,100680,20,0,1,0,10,0,2,3,43,41,0,0,523,0,13,2,0,54,0,1
698,100699,21,0,37,0,8,1,3,16,43,52,2,0,625,0,15,2,1,53,0,1
703,100704,23,0,38,0,40,4,1,12,22,53,2,1,582,0,16,0,2,40,0,1
709,100710,20,1,6,0,17,0,3,11,29,62,1,1,718,1,12,0,0,62,0,1
725,100726,7,1,5,0,3,1,3,13,24,52,0,2,601,0,11,0,1,70,0,1
735,100736,22,0,5,0,0,0,1,11,27,58,0,1,677,1,11,0,1,73,0,1
776,100777,34,2,7,0,20,0,2,8,23,55,1,1,605,0,8,1,0,62,0,1
788,100789,13,0,19,0,33,0,2,8,29,53,6,0,751,0,15,0,0,58,0,-1
790,100791,37,0,32,0,52,6,0,9,13,79,3,0,845,1,7,3,0,30,0,1
799,100800,22,0,26,1,35,4,1,3,21,75,4,0,777,1,6,2,0,36,0,1
800,100801,27,0,8,1,37,1,4,2,25,59,0,0,667,2,12,2,1,63,0,-1
802,100803,10,0,38,0,50,1,0,0,26,53,2,2,760,1,10,1,1,41,0,1
810,100811,27,0,11,1,34,2,0,4,28,63,2,2,709,0,6,2,0,43,0,1
818,100819,44,0,57,0,17,5,0,0,14,76,1,0,802,0,6,2,2,41,0,1
845,100846,22,0,25,0,11,3,3,8,31,60,2,1,632,2,16,1,2,55,0,1
851,100852,25,1,0,0,15,0,2,6,16,72,3,0,950,1,6,2,0,69,0,1
867,100868,24,1,12,0,12,2,4,1,34,49,1,2,479,0,9,4,0,63,0,-1
906,100907,27,1,27,0,34,1,1,4,18,61,2,2,672,2,9,1,0,53,0,1
907,100908,18,0,9,1,22,1,1,23,24,58,0,1,582,0,12,3,0,58,0,1
911,100912,18,0,4,0,1,0,3,6,27,51,0,2,546,1,11,3,0,72,0,1
913,100914,20,1,29,1,40,0,2,10,27,60,1,1,646,0,9,2,0,58,0,1
927,100928,26,1,15,0,70,4,0,0,24,56,1,0,674,0,11,2,1,32,0,1
929,100930,25,1,19,0,18,1,0,14,29,51,1,2,672,1,12,2,0,50,0,1
943,100944,23,0,7,0,13,0,0,8,42,47,1,1,546,2,20,2,0,63,0,1
972,100973,17,0,18,0,57,1,1,7,20,58,4,1,635,4,11,1,0,52,0,1
976,100977,18,1,1,1,9,0,1,9,29,59,1,1,765,0,9,3,0,76,0,1
998,100999,40,0,36,0,13,6,1,0,13,82,1,0,897,0,2,1,0,42,0,1
